10 10	
	 0.00062022548804803066466 9.4549908708330810238e-05 -6.2183891359221754808e-05 6.5906088762870956984e-05 -2.4542682088416289499e-05   0   0   0   0   0
	 9.4549908708330810238e-05 0.0002360844229709954526 7.3435520019670015839e-05 7.6782575036781454338e-05 9.1798678269651355453e-06   0   0   0   0   0
	 -6.2183891359221754808e-05 7.3435520019670015839e-05 0.00019795067628741686927 9.327620026494643727e-05 4.5753296249684411703e-05   0   0   0   0   0
	 6.5906088762870956984e-05 7.6782575036781454338e-05 9.327620026494643727e-05 0.00020895532676814065703 4.4056762629232896383e-05   0   0   0   0   0
	 -2.4542682088416289499e-05 9.1798678269651355453e-06 4.5753296249684411703e-05 4.4056762629232896383e-05 7.8805031808084989977e-05   0   0   0   0   0
	   0   0   0   0   0   0   0   0   0   0
	   0   0   0   0   0   0   0   0   0   0
	   0   0   0   0   0   0   0   0   0   0
	   0   0   0   0   0   0   0   0   0   0
	   0   0   0   0   0   0   0   0   0   0
	
